,time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2
0,2020-11-23 10:41:45.381801-05:00,18.95,8104,18.96,7708,13.79,2576,13.8,903
1,2020-11-23 10:41:49.108311-05:00,18.95,8018,18.96,8288,13.79,2527,13.8,1007
2,2020-11-23 10:41:59.133980-05:00,18.96,4966,18.97,12651,13.8,2327,13.81,2096
3,2020-11-23 10:42:09.142515-05:00,18.96,3938,18.97,11870,13.8,2850,13.81,1835
4,2020-11-23 10:42:19.159326-05:00,18.96,7238,18.97,7922,13.81,2320,13.82,2752
5,2020-11-23 10:42:29.175628-05:00,18.96,4987,18.97,11532,13.8,3324,13.81,2013
6,2020-11-23 10:42:39.193700-05:00,18.96,9103,18.97,4739,13.81,3247,13.82,1016
7,2020-11-23 10:42:49.209004-05:00,18.97,6881,18.98,11737,13.82,2208,13.83,2252
8,2020-11-23 10:42:59.226734-05:00,18.97,5280,18.98,12481,13.82,1031,13.83,2724
9,2020-11-23 10:43:09.245504-05:00,18.97,4113,18.98,12533,13.82,1235,13.83,2616
10,2020-11-23 10:43:19.260089-05:00,18.97,7181,18.98,8871,13.82,2024,13.83,2199
11,2020-11-23 10:43:29.278671-05:00,18.97,9457,18.98,5710,13.82,2854,13.83,855
12,2020-11-23 10:43:39.296133-05:00,18.97,1343,18.98,11089,13.81,2732,13.82,1929
13,2020-11-23 10:43:49.062054-05:00,18.96,10426,18.97,7070,13.81,2961,13.82,1877
14,2020-11-23 10:43:59.078228-05:00,18.97,6315,18.98,10386,13.82,1748,13.83,2681
15,2020-11-23 10:44:09.226388-05:00,18.97,10168,18.98,5793,13.82,2858,13.83,1034
16,2020-11-23 10:44:19.243376-05:00,18.97,10488,18.98,5244,13.83,1456,13.84,2142
17,2020-11-23 10:44:29.265008-05:00,18.98,8075,18.99,8578,13.84,1989,13.85,2560
18,2020-11-23 10:44:39.278868-05:00,18.98,10581,18.99,2298,13.84,3140,13.85,631
19,2020-11-23 10:44:49.295786-05:00,18.98,9807,18.99,5598,13.84,1685,13.85,1904
20,2020-11-23 10:44:59.062339-05:00,18.98,9780,18.99,5594,13.84,1666,13.85,1864
21,2020-11-23 10:45:09.081459-05:00,18.98,10983,18.99,7450,13.84,2057,13.85,2386
22,2020-11-23 10:45:19.097309-05:00,18.98,1887,18.99,6054,13.83,2843,13.84,922
23,2020-11-23 10:45:29.113687-05:00,18.97,9538,18.98,7206,13.83,18,13.84,2756
24,2020-11-23 10:45:39.132599-05:00,18.97,5972,18.98,11650,13.82,1746,13.83,2477
25,2020-11-23 10:45:49.149825-05:00,18.96,8948,18.97,6571,13.81,2070,13.82,1465
26,2020-11-23 10:45:59.166109-05:00,18.96,9802,18.97,6355,13.81,2022,13.82,1104
27,2020-11-23 10:46:09.184959-05:00,18.96,9797,18.97,6371,13.81,1901,13.82,1453
28,2020-11-23 10:46:19.203549-05:00,18.96,8715,18.97,9826,13.81,904,13.82,2001
29,2020-11-23 10:46:29.220915-05:00,18.96,6923,18.97,10199,13.81,592,13.82,2173
30,2020-11-23 10:46:39.237247-05:00,18.96,9814,18.97,6359,13.81,1714,13.82,1515
31,2020-11-23 10:46:49.256205-05:00,18.96,9809,18.97,6335,13.81,1750,13.82,1427
32,2020-11-23 10:46:59.273162-05:00,18.96,6875,18.97,10256,13.81,731,13.82,2202
33,2020-11-23 10:47:09.288758-05:00,18.96,9321,18.97,6726,13.81,1694,13.82,1969
34,2020-11-23 10:47:09.288758-05:00,18.96,9321,18.97,6726,13.8,2825,13.81,797
35,2020-11-23 10:47:19.057312-05:00,18.96,6283,18.97,10920,13.8,2825,13.81,797
36,2020-11-23 10:47:29.074911-05:00,18.96,9626,18.97,6397,13.81,2112,13.82,1993
37,2020-11-23 10:47:39.092721-05:00,18.96,8035,18.97,7491,13.81,1322,13.82,2294
38,2020-11-23 10:47:49.110945-05:00,18.96,9274,18.97,7361,13.81,1612,13.82,2246
39,2020-11-23 10:47:59.127753-05:00,18.96,8010,18.97,10150,13.81,846,13.82,2314
40,2020-11-23 10:48:09.145046-05:00,18.96,10300,18.97,6269,13.81,2278,13.82,1223
41,2020-11-23 10:48:19.162239-05:00,18.96,10289,18.97,5679,13.81,2483,13.82,1133
42,2020-11-23 10:48:29.179773-05:00,18.96,10167,18.97,6474,13.81,1805,13.82,1468
43,2020-11-23 10:48:39.196580-05:00,18.96,10152,18.97,6356,13.81,2266,13.82,1272
44,2020-11-23 10:48:49.216609-05:00,18.96,8690,18.97,5577,13.81,1476,13.82,2193
45,2020-11-23 10:48:59.231296-05:00,18.96,9384,18.97,5048,13.81,1620,13.82,2084
46,2020-11-23 10:49:08.244619-05:00,18.96,9402,18.97,5546,13.81,1620,13.82,2084
47,2020-11-23 10:49:08.244619-05:00,18.96,9402,18.97,5546,13.81,1593,13.82,2116
48,2020-11-23 10:49:19.264181-05:00,18.96,9401,18.97,5557,13.81,1386,13.82,2172
49,2020-11-23 10:49:27.028324-05:00,18.96,9401,18.97,5557,13.81,1451,13.82,2426
50,2020-11-23 10:49:29.289009-05:00,18.96,9401,18.97,5652,13.81,1451,13.82,2426
51,2020-11-23 10:49:39.049985-05:00,18.96,7950,18.97,8609,13.81,714,13.82,2305
52,2020-11-23 10:49:49.067996-05:00,18.96,6435,18.97,9322,13.8,2882,13.81,1845
53,2020-11-23 10:49:59.083771-05:00,18.96,9484,18.97,5650,13.81,2057,13.82,2187
54,2020-11-23 10:50:09.104067-05:00,18.96,9902,18.97,4801,13.81,2317,13.82,1620
55,2020-11-23 10:50:19.121639-05:00,18.96,8518,18.97,4786,13.81,2074,13.82,1997
56,2020-11-23 10:50:29.137975-05:00,18.96,10207,18.97,4718,13.81,2548,13.82,1296
57,2020-11-23 10:50:39.193659-05:00,18.96,10223,18.97,4751,13.81,2270,13.82,1385
58,2020-11-23 10:50:49.171297-05:00,18.96,9054,18.97,4640,13.81,2019,13.82,1232
59,2020-11-23 10:50:59.189758-05:00,18.96,10218,18.97,4748,13.81,1775,13.82,1463
60,2020-11-23 10:51:09.208090-05:00,18.96,8064,18.97,8629,13.81,959,13.82,2488
61,2020-11-23 10:51:19.227308-05:00,18.96,4411,18.97,9697,13.8,2040,13.81,2792
62,2020-11-23 10:51:29.244732-05:00,18.96,4457,18.97,9633,13.8,2504,13.81,1577
63,2020-11-23 10:51:39.262606-05:00,18.96,3040,18.97,10235,13.8,1797,13.81,2467
64,2020-11-23 10:51:49.279817-05:00,18.96,1416,18.97,10228,13.8,929,13.81,2564
65,2020-11-23 10:51:59.298291-05:00,18.95,9944,18.96,6120,13.8,307,13.81,2739
66,2020-11-23 10:52:09.067812-05:00,18.95,10448,18.96,6155,13.8,801,13.81,2803
67,2020-11-23 10:52:19.084134-05:00,18.95,9528,18.96,8575,13.79,2610,13.8,1805
68,2020-11-23 10:52:29.100666-05:00,18.95,8152,18.96,10079,13.79,1898,13.8,1708
69,2020-11-23 10:52:39.117568-05:00,18.95,5416,18.96,10881,13.79,839,13.8,2357
70,2020-11-23 10:52:49.140777-05:00,18.95,4048,18.96,10985,13.78,3056,13.79,1089
71,2020-11-23 10:52:59.156297-05:00,18.95,3545,18.96,11102,13.78,2979,13.79,1042
72,2020-11-23 10:53:09.175219-05:00,18.95,3730,18.96,10931,13.79,721,13.8,2455
73,2020-11-23 10:53:19.193349-05:00,18.95,468,18.96,11972,13.78,2656,13.79,1176
74,2020-11-23 10:53:28.208850-05:00,18.95,1971,18.96,12324,13.78,2656,13.79,1176
75,2020-11-23 10:53:28.208850-05:00,18.95,1971,18.96,12324,13.78,2732,13.79,1050
76,2020-11-23 10:53:39.230217-05:00,18.95,1971,18.96,12250,13.78,2703,13.79,1025
77,2020-11-23 10:53:49.246710-05:00,18.95,2344,18.96,11876,13.79,1194,13.8,2405
78,2020-11-23 10:53:59.264384-05:00,18.95,2702,18.96,11952,13.79,667,13.8,2848
79,2020-11-23 10:54:09.281436-05:00,18.95,4626,18.96,11722,13.79,1617,13.8,1977
80,2020-11-23 10:54:19.048599-05:00,18.95,3508,18.96,11853,13.79,1314,13.8,2694
81,2020-11-23 10:54:19.048599-05:00,18.95,3508,18.96,11853,13.79,706,13.8,2737
82,2020-11-23 10:54:29.065214-05:00,18.95,2719,18.96,11937,13.79,706,13.8,2737
83,2020-11-23 10:54:39.082947-05:00,18.95,2775,18.96,11906,13.79,801,13.8,2762
84,2020-11-23 10:54:49.100861-05:00,18.95,140,18.96,12536,13.78,2420,13.79,2141
85,2020-11-23 10:54:59.119433-05:00,18.94,10759,18.95,6728,13.78,1978,13.79,2256
86,2020-11-23 10:55:03.123658-05:00,18.94,10759,18.95,6728,13.78,2556,13.79,2061
87,2020-11-23 10:55:09.134242-05:00,18.94,10883,18.95,6718,13.78,2556,13.79,2061
88,2020-11-23 10:55:19.152018-05:00,18.94,10499,18.95,6749,13.78,1920,13.79,2353
89,2020-11-23 10:55:29.187837-05:00,18.94,8213,18.95,10621,13.78,920,13.79,3257
90,2020-11-23 10:55:39.205793-05:00,18.94,4448,18.95,11797,13.77,1917,13.78,2647
91,2020-11-23 10:55:49.221862-05:00,18.94,4850,18.95,11329,13.77,2429,13.78,2186
92,2020-11-23 10:55:59.239489-05:00,18.94,4833,18.95,11336,13.77,2432,13.78,2171
93,2020-11-23 10:56:09.257302-05:00,18.94,6428,18.95,11327,13.77,2466,13.78,1433
94,2020-11-23 10:56:19.276679-05:00,18.94,6426,18.95,11292,13.77,2465,13.78,1444
95,2020-11-23 10:56:29.273888-05:00,18.94,6355,18.95,11341,13.77,2468,13.78,1313
96,2020-11-23 10:56:39.231617-05:00,18.94,6363,18.95,11353,13.77,2464,13.78,1673
97,2020-11-23 10:56:49.248659-05:00,18.94,5799,18.95,11396,13.77,2462,13.78,1432
98,2020-11-23 10:56:59.266611-05:00,18.94,7478,18.95,10585,13.77,2583,13.78,652
99,2020-11-23 10:57:09.284107-05:00,18.94,6419,18.95,11281,13.77,2765,13.78,1111
100,2020-11-23 10:57:19.094604-05:00,18.94,8302,18.95,9938,13.77,2958,13.78,496
101,2020-11-23 10:57:28.146981-05:00,18.94,8970,18.95,7647,13.77,3089,13.78,235
102,2020-11-23 10:57:39.128221-05:00,18.94,9290,18.95,6722,13.78,2710,13.79,2573
103,2020-11-23 10:57:49.143904-05:00,18.95,4916,18.96,12025,13.78,3603,13.79,851
104,2020-11-23 10:57:59.164575-05:00,18.95,1593,18.96,12402,13.78,3286,13.79,1454
105,2020-11-23 10:58:09.182070-05:00,18.95,1755,18.96,12355,13.78,3248,13.79,1477
106,2020-11-23 10:58:19.203896-05:00,18.95,2727,18.96,11625,13.78,3304,13.79,1110
107,2020-11-23 10:58:29.221163-05:00,18.95,3827,18.96,11885,13.78,3763,13.79,306
108,2020-11-23 10:58:39.160178-05:00,18.95,2996,18.96,11885,13.79,708,13.8,2519
109,2020-11-23 10:58:49.176519-05:00,18.95,2290,18.96,12153,13.78,3580,13.79,2241
110,2020-11-23 10:58:59.194552-05:00,18.94,10204,18.95,7464,13.78,2957,13.79,2316
111,2020-11-23 10:59:09.175112-05:00,18.94,10638,18.95,7417,13.78,3595,13.79,2108
112,2020-11-23 10:59:19.291095-05:00,18.94,10796,18.95,1455,13.78,3669,13.79,574
113,2020-11-23 10:59:27.051275-05:00,18.94,10796,18.95,1455,13.78,3826,13.79,1258
114,2020-11-23 10:59:29.054953-05:00,18.94,10328,18.95,5246,13.78,3826,13.79,1258
115,2020-11-23 10:59:39.074996-05:00,18.94,10242,18.95,5723,13.78,3464,13.79,1323
116,2020-11-23 10:59:49.092476-05:00,18.94,10333,18.95,5309,13.78,3331,13.79,1227
117,2020-11-23 10:59:59.108678-05:00,18.95,5281,18.96,11477,13.78,3488,13.79,698
118,2020-11-23 11:00:09.124243-05:00,18.95,3072,18.96,11660,13.78,3333,13.79,1152
119,2020-11-23 11:00:19.154816-05:00,18.95,7561,18.96,10111,13.79,2421,13.8,1424
120,2020-11-23 11:00:29.159748-05:00,18.95,7560,18.96,10234,13.79,2461,13.8,1353
121,2020-11-23 11:00:39.178100-05:00,18.95,7035,18.96,10201,13.79,1905,13.8,1599
122,2020-11-23 11:00:49.195044-05:00,18.95,7748,18.96,7267,13.79,2283,13.8,1330
123,2020-11-23 11:00:59.212100-05:00,18.95,7053,18.96,8845,13.79,2019,13.8,1416
124,2020-11-23 11:01:09.230058-05:00,18.95,3608,18.96,11369,13.79,256,13.8,2359
125,2020-11-23 11:01:19.246524-05:00,18.95,3135,18.96,11436,13.79,30,13.8,2670
126,2020-11-23 11:01:29.264726-05:00,18.95,2992,18.96,11304,13.78,3466,13.79,744
127,2020-11-23 11:01:39.281341-05:00,18.95,2437,18.96,11427,13.78,3344,13.79,949
128,2020-11-23 11:01:49.153352-05:00,18.95,2900,18.96,11424,13.78,3347,13.79,972
129,2020-11-23 11:01:59.171494-05:00,18.95,2900,18.96,11418,13.78,3357,13.79,961
130,2020-11-23 11:02:09.187963-05:00,18.95,4372,18.96,11256,13.79,1957,13.8,2361
131,2020-11-23 11:02:19.204961-05:00,18.95,1691,18.96,7174,13.79,1544,13.8,1024
132,2020-11-23 11:02:29.223318-05:00,18.95,3751,18.96,11454,13.79,1408,13.8,2191
