time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,mid1,mid2,residuals,imb1,imb2,residual_later,mid1_later,mid2_later,imb1_later,imb2_later,pnl,mid1_diff,mid2_diff,residual_bucket,imb1_bucket,imb2_bucket,avg_pnl,G1_It,G2_It,dM1,dM2,residual_bucket_later,imb1_bucket_later,imb2_bucket_later,current_state,later_state,micro1_adj,micro2_adj,micro1,micro2
2020-11-23 15:41:59.133980+00:00,18.96,4966,18.97,12651,13.8,2327,13.81,2096,18.965,13.805,0.0032860324675674235,0.2818868138729636,0.5261134976260456,0.0032860324675674235,18.965,13.805,0.24911437246963564,0.608324439701174,0.0,0.0,0.0,4,0,1,-0.0017378263349258599,-0.001859903381642361,0.0,0,0,4,0,1,401,40100,-0.004400937736897364,0.002032657366338348,18.960599062263103,13.807032657366339
2020-11-23 15:42:09.142515+00:00,18.96,3938,18.97,11870,13.8,2850,13.81,1835,18.965,13.805,0.0032860324675674235,0.24911437246963564,0.608324439701174,-0.003589281722419457,18.965,13.815,0.4774406332453826,0.4574132492113565,-0.006875314189986881,0.0,0.010000000000001565,4,0,1,-0.0017378263349258599,-0.001859903381642361,0.0,0,1,1,1,1,401,11101,-0.004400937736897364,0.002032657366338348,18.960599062263103,13.807032657366339
2020-11-23 15:42:19.159326+00:00,18.96,7238,18.97,7922,13.81,2320,13.82,2752,18.965,13.815,-0.003589281722419457,0.4774406332453826,0.4574132492113565,0.0032860324675674235,18.965,13.805,0.30189478782008594,0.6228218100056211,0.006875314189986881,0.0,-0.010000000000001565,1,1,1,0.0017378263349258599,0.0,0.0,0,-1,4,0,1,111,4010-1,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:42:29.175628+00:00,18.96,4987,18.97,11532,13.8,3324,13.81,2013,18.965,13.805,0.0032860324675674235,0.30189478782008594,0.6228218100056211,-0.003589281722419457,18.965,13.815,0.6576361797428117,0.7616701853155056,-0.006875314189986881,0.0,0.010000000000001565,4,0,1,-0.0017378263349258599,-0.001859903381642361,0.0,0,1,1,1,2,401,11201,-0.004400937736897364,0.002032657366338348,18.960599062263103,13.807032657366339
2020-11-23 15:42:49.209004+00:00,18.97,6881,18.98,11737,13.82,2208,13.83,2252,18.975,13.825,-0.0004645959124047749,0.3695885702008809,0.49506726457399103,-0.0004645959124047749,18.975,13.825,0.29728055852710994,0.2745672436750999,0.0,0.0,0.0,2,1,1,0.0003631067706425505,0.0,0.0,0,0,2,0,0,211,20000,0.0010557066260642625,-0.0006407035508193031,18.976055706626067,13.82435929644918
2020-11-23 15:42:59.226734+00:00,18.97,5280,18.98,12481,13.82,1031,13.83,2724,18.975,13.825,-0.0004645959124047749,0.29728055852710994,0.2745672436750999,-0.0004645959124047749,18.975,13.825,0.24708638712002884,0.3206959231368476,0.0,0.0,0.0,2,0,0,0.0003631067706425505,-0.001859903381642361,-0.00250980392156869,0,0,2,0,0,200,20000,-0.0011471554393454534,-0.003510997339464352,18.973852844560657,13.821489002660535
2020-11-23 15:43:09.245504+00:00,18.97,4113,18.98,12533,13.82,1235,13.83,2616,18.975,13.825,-0.0004645959124047749,0.24708638712002884,0.3206959231368476,-0.0004645959124047749,18.975,13.825,0.44735858460004985,0.4792801326071513,0.0,0.0,0.0,2,0,0,0.0003631067706425505,-0.001859903381642361,-0.00250980392156869,0,0,2,1,1,200,21100,-0.0011471554393454534,-0.003510997339464352,18.973852844560657,13.821489002660535
2020-11-23 15:43:19.260089+00:00,18.97,7181,18.98,8871,13.82,2024,13.83,2199,18.975,13.825,-0.0004645959124047749,0.44735858460004985,0.4792801326071513,-0.0004645959124047749,18.975,13.825,0.6235247576976329,0.7694796441089242,0.0,0.0,0.0,2,1,1,0.0003631067706425505,0.0,0.0,0,0,2,1,2,211,21200,0.0010557066260642625,-0.0006407035508193031,18.976055706626067,13.82435929644918
2020-11-23 15:43:29.278671+00:00,18.97,9457,18.98,5710,13.82,2854,13.83,855,18.975,13.825,-0.0004645959124047749,0.6235247576976329,0.7694796441089242,0.006410718277582106,18.975,13.815,0.10802767052767052,0.5861403132375027,0.006875314189986881,0.0,-0.009999999999998007,2,1,2,0.0003631067706425505,0.0,0.00250980392156869,0,-1,5,0,1,212,5010-1,0.002409204929044232,0.0017450179956958304,18.977409204929046,13.826745017995695
2020-11-23 15:43:39.296133+00:00,18.97,1343,18.98,11089,13.81,2732,13.82,1929,18.975,13.815,0.006410718277582106,0.10802767052767052,0.5861403132375027,-0.0004645959124047749,18.975,13.825,0.3781210705945752,0.39467148340483177,-0.006875314189986881,0.0,0.009999999999998007,5,0,1,-0.0041484450965474096,-0.001859903381642361,0.0,0,1,2,1,1,501,21101,-0.006435209619749843,0.0025115160334876173,18.968564790380253,13.817511516033488
