,time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2
0,2020-12-03 09:49:49.496299-05:00,18.41,5057,18.42,11263,13.01,1588,13.02,2007
1,2020-12-03 09:49:50.499130-05:00,18.41,4631,18.42,11366,13.01,1576,13.02,2045
2,2020-12-03 09:50:00.518556-05:00,18.41,5562,18.42,11286,13.01,1728,13.02,1879
3,2020-12-03 09:50:10.581464-05:00,18.4,14666,18.41,244,13.01,1820,13.02,1506
4,2020-12-03 09:50:19.612368-05:00,18.41,8151,18.42,11729,13.01,1820,13.02,1506
5,2020-12-03 09:50:19.612368-05:00,18.41,8151,18.42,11729,13.01,2003,13.02,1156
6,2020-12-03 09:50:30.654384-05:00,18.41,7906,18.42,11686,13.01,2202,13.02,1100
7,2020-12-03 09:50:40.688310-05:00,18.41,8121,18.42,11323,13.01,2427,13.02,981
8,2020-12-03 09:50:50.475667-05:00,18.41,10855,18.42,8126,13.01,2641,13.02,440
9,2020-12-03 09:51:00.478570-05:00,18.41,11442,18.42,8078,13.02,2237,13.03,2300
10,2020-12-03 09:51:10.585271-05:00,18.41,11469,18.42,7933,13.02,2243,13.03,2164
11,2020-12-03 09:51:20.623292-05:00,18.41,11062,18.42,8076,13.01,2990,13.02,551
12,2020-12-03 09:51:30.526797-05:00,18.41,11617,18.42,7373,13.01,2990,13.02,551
13,2020-12-03 09:51:30.526797-05:00,18.41,11617,18.42,7373,13.02,2063,13.03,2249
14,2020-12-03 09:51:40.456070-05:00,18.41,12477,18.42,1618,13.02,2733,13.03,1429
15,2020-12-03 09:51:50.665724-05:00,18.42,6494,18.43,11806,13.02,2464,13.03,1266
16,2020-12-03 09:52:00.596068-05:00,18.42,3933,18.43,11725,13.02,2292,13.03,1492
17,2020-12-03 09:52:10.699152-05:00,18.41,12440,18.42,9656,13.02,1628,13.03,2303
18,2020-12-03 09:52:20.604938-05:00,18.41,12477,18.42,8832,13.02,1628,13.03,2303
19,2020-12-03 09:52:20.604938-05:00,18.41,12477,18.42,8832,13.02,1766,13.03,2161
20,2020-12-03 09:52:30.460097-05:00,18.41,12508,18.42,8943,13.02,1692,13.03,2161
21,2020-12-03 09:52:40.626292-05:00,18.41,12697,18.42,8401,13.02,1559,13.03,2196
22,2020-12-03 09:52:50.690283-05:00,18.41,11990,18.42,9402,13.02,976,13.03,2371
23,2020-12-03 09:53:00.465034-05:00,18.41,8083,18.42,12567,13.01,2043,13.02,2359
24,2020-12-03 09:53:10.626514-05:00,18.4,12424,18.41,6023,13.0,2820,13.01,1450
25,2020-12-03 09:53:20.645256-05:00,18.4,12482,18.41,5846,13.0,3054,13.01,764
26,2020-12-03 09:53:30.673971-05:00,18.4,12556,18.41,5854,13.0,2977,13.01,637
27,2020-12-03 09:53:40.592671-05:00,18.4,12550,18.41,5086,13.01,1471,13.02,3200
28,2020-12-03 09:53:50.532974-05:00,18.4,6892,18.41,3116,13.0,1998,13.01,1205
29,2020-12-03 09:54:00.480976-05:00,18.4,11520,18.41,5838,13.0,2895,13.01,899
30,2020-12-03 09:54:10.589145-05:00,18.4,8741,18.41,5917,13.01,857,13.02,3314
31,2020-12-03 09:54:20.613972-05:00,18.4,10613,18.41,5946,13.01,1319,13.02,3257
32,2020-12-03 09:54:30.678899-05:00,18.4,10560,18.41,5979,13.01,1334,13.02,3282
33,2020-12-03 09:54:40.663164-05:00,18.4,10498,18.41,6005,13.0,3068,13.01,1310
34,2020-12-03 09:54:50.643661-05:00,18.4,10481,18.41,6047,13.0,3068,13.01,828
35,2020-12-03 09:55:00.666110-05:00,18.4,10439,18.41,6124,13.0,2930,13.01,1231
36,2020-12-03 09:55:10.577457-05:00,18.4,8401,18.41,9172,13.0,2217,13.01,1577
37,2020-12-03 09:55:20.766927-05:00,18.4,10123,18.41,6516,13.0,2657,13.01,1403
38,2020-12-03 09:55:30.585614-05:00,18.4,10516,18.41,6355,13.0,3203,13.01,543
39,2020-12-03 09:55:40.595667-05:00,18.4,10810,18.41,4590,13.01,1760,13.02,3199
40,2020-12-03 09:55:40.595667-05:00,18.4,10810,18.41,4590,13.01,1649,13.02,3235
41,2020-12-03 09:55:50.618968-05:00,18.4,10693,18.41,4648,13.01,1649,13.02,3235
42,2020-12-03 09:56:00.641430-05:00,18.4,9962,18.41,5330,13.01,784,13.02,2854
43,2020-12-03 09:56:10.483359-05:00,18.4,10486,18.41,5664,13.01,732,13.02,3486
44,2020-12-03 09:56:20.507909-05:00,18.4,10859,18.41,2314,13.01,2017,13.02,2406
45,2020-12-03 09:56:30.530558-05:00,18.4,10841,18.41,3081,13.01,1840,13.02,2857
46,2020-12-03 09:56:40.450704-05:00,18.4,10718,18.41,5125,13.01,1559,13.02,3172
47,2020-12-03 09:56:50.534867-05:00,18.4,10365,18.41,5451,13.01,658,13.02,3236
48,2020-12-03 09:57:00.552154-05:00,18.4,10506,18.41,5443,13.01,1243,13.02,3174
49,2020-12-03 09:57:10.644082-05:00,18.4,10618,18.41,5016,13.01,1556,13.02,3061
50,2020-12-03 09:57:20.561968-05:00,18.4,10671,18.41,4882,13.01,1578,13.02,3161
51,2020-12-03 09:57:30.529227-05:00,18.4,10479,18.41,5201,13.01,1445,13.02,3175
52,2020-12-03 09:57:40.641492-05:00,18.4,10479,18.41,5201,13.0,2650,13.01,2339
53,2020-12-03 09:57:40.642489-05:00,18.4,10023,18.41,6813,13.0,2650,13.01,2339
54,2020-12-03 09:57:50.539991-05:00,18.4,10046,18.41,6865,13.0,2646,13.01,2371
55,2020-12-03 09:58:00.552410-05:00,18.4,10432,18.41,6232,13.0,2850,13.01,2316
56,2020-12-03 09:58:10.692177-05:00,18.4,6614,18.41,9570,13.0,1922,13.01,3139
57,2020-12-03 09:58:20.567518-05:00,18.4,6162,18.41,9827,13.0,1619,13.01,3246
58,2020-12-03 09:58:30.605052-05:00,18.4,5468,18.41,9772,13.0,1176,13.01,3287
59,2020-12-03 09:58:40.610018-05:00,18.4,5716,18.41,9779,12.99,3439,13.0,155
60,2020-12-03 09:58:49.233700-05:00,18.4,9331,18.41,8185,13.0,2541,13.01,2523
61,2020-12-03 09:58:59.340475-05:00,18.4,8771,18.41,8365,13.0,2563,13.01,2432
62,2020-12-03 09:59:09.181940-05:00,18.4,10533,18.41,6407,13.0,2968,13.01,2139
63,2020-12-03 09:59:19.239756-05:00,18.4,10656,18.41,5863,13.0,3221,13.01,1993
64,2020-12-03 09:59:29.222891-05:00,18.4,10579,18.41,4478,13.0,3343,13.01,616
65,2020-12-03 09:59:39.240814-05:00,18.4,10322,18.41,5013,13.0,2854,13.01,872
66,2020-12-03 09:59:49.163169-05:00,18.4,10200,18.41,4999,13.0,2820,13.01,847
67,2020-12-03 09:59:59.142278-05:00,18.4,9885,18.41,4020,13.0,2137,13.01,877
68,2020-12-03 10:00:09.145453-05:00,18.4,5817,18.41,9410,13.0,990,13.01,1883
69,2020-12-03 10:00:18.166001-05:00,18.4,5827,18.41,9381,13.0,990,13.01,1883
70,2020-12-03 10:00:18.166001-05:00,18.4,5827,18.41,9381,13.0,1499,13.01,1884
71,2020-12-03 10:00:29.146371-05:00,18.4,8499,18.41,7897,13.0,2162,13.01,1523
72,2020-12-03 10:00:39.125215-05:00,18.4,10625,18.41,6002,13.0,3075,13.01,855
73,2020-12-03 10:00:49.149095-05:00,18.4,10470,18.41,6021,13.0,2988,13.01,1104
74,2020-12-03 10:00:59.247136-05:00,18.41,6325,18.42,12719,13.01,3917,13.02,1424
75,2020-12-03 10:01:09.263720-05:00,18.41,7199,18.42,12431,13.01,4018,13.02,1423
76,2020-12-03 10:01:19.285054-05:00,18.41,5925,18.42,12905,13.01,2993,13.02,2119
77,2020-12-03 10:01:29.132596-05:00,18.41,4841,18.42,13089,13.01,2829,13.02,2210
78,2020-12-03 10:01:39.311176-05:00,18.4,11818,18.41,6064,13.01,1475,13.02,2592
79,2020-12-03 10:01:49.110260-05:00,18.4,11627,18.41,6379,13.01,1292,13.02,2623
80,2020-12-03 10:01:59.241486-05:00,18.4,11797,18.41,3685,13.01,1792,13.02,2539
81,2020-12-03 10:02:08.371073-05:00,18.4,11980,18.41,5391,13.01,1792,13.02,2539
82,2020-12-03 10:02:08.371073-05:00,18.4,11980,18.41,5391,13.01,1389,13.02,2710
83,2020-12-03 10:02:19.226193-05:00,18.4,11980,18.41,5372,13.01,1377,13.02,2708
84,2020-12-03 10:02:29.186512-05:00,18.4,11997,18.41,5110,13.01,1588,13.02,2562
85,2020-12-03 10:02:39.208568-05:00,18.4,11327,18.41,5314,13.01,1227,13.02,2590
86,2020-12-03 10:02:49.231115-05:00,18.4,11267,18.41,5573,13.01,1163,13.02,2648
87,2020-12-03 10:02:59.162163-05:00,18.4,11477,18.41,4561,13.01,1617,13.02,2564
88,2020-12-03 10:03:09.185220-05:00,18.4,11422,18.41,5312,13.01,1419,13.02,2586
89,2020-12-03 10:03:19.205716-05:00,18.4,8481,18.41,9609,13.0,2464,13.01,2662
90,2020-12-03 10:03:29.312310-05:00,18.4,9197,18.41,6925,13.0,3106,13.01,2270
91,2020-12-03 10:03:39.083337-05:00,18.4,9713,18.41,7352,13.0,3238,13.01,2258
92,2020-12-03 10:03:49.135136-05:00,18.4,11252,18.41,5861,13.0,3628,13.01,372
