,time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2
0,2021-02-19 11:26:40.629531-05:00,17.07,6751,17.08,5806,,,,
1,2021-02-19 11:26:40.629531-05:00,17.07,6751,17.08,5806,11.17,3375.0,11.18,1679.0
2,2021-02-19 11:26:40.629531-05:00,17.07,6751,17.08,5806,11.17,3030.0,11.18,2120.0
3,2021-02-19 11:26:49.206757-05:00,17.07,6349,17.08,5934,11.17,3030.0,11.18,2120.0
4,2021-02-19 11:26:59.236991-05:00,17.07,6492,17.08,5834,11.17,3376.0,11.18,1728.0
5,2021-02-19 11:27:09.227279-05:00,17.07,7140,17.08,5424,11.17,3406.0,11.18,1598.0
6,2021-02-19 11:27:19.292085-05:00,17.07,7351,17.08,5049,11.17,3668.0,11.18,1598.0
7,2021-02-19 11:27:29.067638-05:00,17.07,6561,17.08,5942,11.17,3207.0,11.18,1832.0
8,2021-02-19 11:27:39.128858-05:00,17.07,6800,17.08,5260,11.17,3674.0,11.18,1594.0
9,2021-02-19 11:27:39.128858-05:00,17.07,6800,17.08,5260,11.17,3701.0,11.18,1594.0
10,2021-02-19 11:27:49.267675-05:00,17.07,6800,17.08,5254,11.17,3701.0,11.18,1594.0
11,2021-02-19 11:27:57.190686-05:00,17.07,6800,17.08,5254,11.17,3688.0,11.18,1594.0
12,2021-02-19 11:27:59.193088-05:00,17.07,6822,17.08,5254,11.17,3688.0,11.18,1594.0
13,2021-02-19 11:27:59.193088-05:00,17.07,6822,17.08,5254,11.17,3684.0,11.18,1594.0
14,2021-02-19 11:28:09.100029-05:00,17.07,6790,17.08,5254,11.17,3684.0,11.18,1594.0
15,2021-02-19 11:28:19.194317-05:00,17.07,7393,17.08,5046,11.17,3710.0,11.18,1607.0
16,2021-02-19 11:28:29.229518-05:00,17.07,8051,17.08,4794,11.17,3971.0,11.18,1384.0
17,2021-02-19 11:28:39.257888-05:00,17.07,8604,17.08,3588,11.17,4893.0,11.18,455.0
18,2021-02-19 11:28:49.195921-05:00,17.07,8592,17.08,3720,11.17,4866.0,11.18,419.0
19,2021-02-19 11:28:49.195921-05:00,17.07,8592,17.08,3720,11.17,4619.0,11.18,575.0
20,2021-02-19 11:28:59.119537-05:00,17.07,8357,17.08,4211,11.17,4619.0,11.18,575.0
21,2021-02-19 11:29:08.060704-05:00,17.07,8036,17.08,4537,11.17,4619.0,11.18,575.0
22,2021-02-19 11:29:08.060704-05:00,17.07,8036,17.08,4537,11.17,4006.0,11.18,1342.0
23,2021-02-19 11:29:19.096562-05:00,17.07,8036,17.08,4338,11.17,4023.0,11.18,1329.0
24,2021-02-19 11:29:29.270002-05:00,17.07,8521,17.08,3705,11.17,4396.0,11.18,485.0
25,2021-02-19 11:29:39.297154-05:00,17.07,8136,17.08,4444,11.17,4084.0,11.18,1155.0
26,2021-02-19 11:29:39.297154-05:00,17.07,8136,17.08,4444,11.17,4236.0,11.18,601.0
27,2021-02-19 11:29:48.072366-05:00,17.07,8302,17.08,4129,11.17,4236.0,11.18,601.0
28,2021-02-19 11:29:59.133296-05:00,17.07,8485,17.08,3905,11.17,4240.0,11.18,532.0
29,2021-02-19 11:29:59.133296-05:00,17.07,8485,17.08,3905,11.17,4447.0,11.18,588.0
30,2021-02-19 11:30:09.216050-05:00,17.07,8504,17.08,3701,11.17,4447.0,11.18,588.0
31,2021-02-19 11:30:19.132481-05:00,17.07,8216,17.08,4498,11.17,4110.0,11.18,1008.0
32,2021-02-19 11:30:29.176244-05:00,17.07,8225,17.08,4502,11.17,4148.0,11.18,1232.0
33,2021-02-19 11:30:39.080996-05:00,17.07,8419,17.08,4012,11.17,4208.0,11.18,678.0
34,2021-02-19 11:30:49.247609-05:00,17.07,8440,17.08,3590,11.18,2676.0,11.19,2457.0
35,2021-02-19 11:30:59.205086-05:00,17.07,8519,17.08,3844,11.18,1976.0,11.19,2642.0
36,2021-02-19 11:31:09.278907-05:00,17.07,8538,17.08,3899,11.18,1976.0,11.19,2642.0
37,2021-02-19 11:31:09.278907-05:00,17.07,8538,17.08,3899,11.18,2048.0,11.19,2634.0
38,2021-02-19 11:31:19.309311-05:00,17.07,8976,17.08,3143,11.18,2301.0,11.19,2073.0
39,2021-02-19 11:31:29.258398-05:00,17.07,8965,17.08,2932,11.18,2286.0,11.19,2057.0
40,2021-02-19 11:31:39.289349-05:00,17.07,8958,17.08,2591,11.18,2286.0,11.19,2057.0
41,2021-02-19 11:31:39.289349-05:00,17.07,8958,17.08,2591,11.18,2670.0,11.19,1710.0
42,2021-02-19 11:31:49.136824-05:00,17.08,6056,17.09,5868,11.18,3001.0,11.19,1462.0
43,2021-02-19 11:31:59.061808-05:00,17.08,6813,17.09,5478,11.18,2985.0,11.19,1472.0
44,2021-02-19 11:32:08.182558-05:00,17.08,6829,17.09,5336,11.18,3061.0,11.19,1337.0
45,2021-02-19 11:32:19.082604-05:00,17.08,7064,17.09,5333,11.18,3037.0,11.19,1417.0
46,2021-02-19 11:32:28.112023-05:00,17.08,6838,17.09,5336,11.18,3037.0,11.19,1417.0
47,2021-02-19 11:32:28.112023-05:00,17.08,6838,17.09,5336,11.18,3059.0,11.19,1334.0
48,2021-02-19 11:32:39.136696-05:00,17.08,7045,17.09,5336,11.18,3047.0,11.19,1362.0
49,2021-02-19 11:32:49.095697-05:00,17.08,6834,17.09,5370,11.18,2999.0,11.19,1442.0
50,2021-02-19 11:32:59.093921-05:00,17.08,7297,17.09,4708,11.18,2999.0,11.19,1442.0
51,2021-02-19 11:32:59.093921-05:00,17.08,7297,17.09,4708,11.18,3313.0,11.19,1187.0
52,2021-02-19 11:33:09.155102-05:00,17.08,8623,17.09,3856,11.18,3313.0,11.19,1187.0
53,2021-02-19 11:33:09.155102-05:00,17.08,8623,17.09,3856,11.18,3389.0,11.19,664.0
54,2021-02-19 11:33:19.143015-05:00,17.08,8275,17.09,4369,11.18,3264.0,11.19,1058.0
55,2021-02-19 11:33:19.143015-05:00,17.08,8275,17.09,4369,11.18,3000.0,11.19,1509.0
56,2021-02-19 11:33:29.051878-05:00,17.08,6620,17.09,5429,11.18,3000.0,11.19,1509.0
57,2021-02-19 11:33:39.086743-05:00,17.08,6587,17.09,5495,11.18,2999.0,11.19,1618.0
58,2021-02-19 11:33:49.116009-05:00,17.08,4970,17.09,5997,11.18,2127.0,11.19,2723.0
59,2021-02-19 11:33:59.191973-05:00,17.08,6193,17.09,5737,11.18,2347.0,11.19,2032.0
60,2021-02-19 11:34:09.150104-05:00,17.08,5603,17.09,5722,11.18,2267.0,11.19,2196.0
61,2021-02-19 11:34:18.064559-05:00,17.08,5658,17.09,5874,11.18,2267.0,11.19,2196.0
62,2021-02-19 11:34:18.064559-05:00,17.08,5658,17.09,5874,11.18,2243.0,11.19,2255.0
63,2021-02-19 11:34:29.275074-05:00,17.08,6057,17.09,5713,11.18,2338.0,11.19,2015.0
64,2021-02-19 11:34:38.109454-05:00,17.08,5679,17.09,5943,11.18,2338.0,11.19,2015.0
65,2021-02-19 11:34:38.109454-05:00,17.08,5679,17.09,5943,11.18,2238.0,11.19,2268.0
66,2021-02-19 11:34:43.121311-05:00,17.08,5679,17.09,5943,11.18,2286.0,11.19,2276.0
67,2021-02-19 11:34:49.139015-05:00,17.08,5653,17.09,5912,11.18,2286.0,11.19,2276.0
68,2021-02-19 11:34:49.139015-05:00,17.08,5653,17.09,5912,11.18,2241.0,11.19,2463.0
69,2021-02-19 11:34:59.282118-05:00,17.08,5188,17.09,5998,11.18,2241.0,11.19,2463.0
70,2021-02-19 11:35:09.207976-05:00,17.08,2197,17.09,6258,11.18,1135.0,11.19,2664.0
71,2021-02-19 11:35:19.118763-05:00,17.08,2464,17.09,6256,11.18,1234.0,11.19,2576.0
72,2021-02-19 11:35:29.285554-05:00,17.08,953,17.09,6263,11.17,3869.0,11.18,1997.0
73,2021-02-19 11:35:39.148712-05:00,17.07,8697,17.08,5053,11.17,3783.0,11.18,2169.0
74,2021-02-19 11:35:39.148712-05:00,17.07,8697,17.08,5053,11.17,3752.0,11.18,2191.0
75,2021-02-19 11:35:49.128854-05:00,17.07,8413,17.08,5269,11.17,3752.0,11.18,2191.0
76,2021-02-19 11:35:59.239449-05:00,17.07,8767,17.08,5284,11.17,3752.0,11.18,2191.0
77,2021-02-19 11:35:59.239449-05:00,17.07,8767,17.08,5284,11.17,3758.0,11.18,2200.0
78,2021-02-19 11:36:09.263655-05:00,17.07,7407,17.08,6074,11.17,3560.0,11.18,2306.0
79,2021-02-19 11:36:19.148889-05:00,17.07,7218,17.08,6519,11.17,3535.0,11.18,2470.0
80,2021-02-19 11:36:28.168374-05:00,17.07,9032,17.08,5043,11.17,3535.0,11.18,2470.0
81,2021-02-19 11:36:28.168374-05:00,17.07,9032,17.08,5043,11.17,3852.0,11.18,2156.0
82,2021-02-19 11:36:39.053651-05:00,17.07,9310,17.08,4991,11.17,4142.0,11.18,1687.0
83,2021-02-19 11:36:49.083011-05:00,17.07,9246,17.08,4906,11.17,4119.0,11.18,1120.0
84,2021-02-19 11:36:49.083011-05:00,17.07,9246,17.08,4906,11.17,4069.0,11.18,1274.0
85,2021-02-19 11:36:58.206474-05:00,17.07,9201,17.08,4967,11.17,4069.0,11.18,1274.0
86,2021-02-19 11:37:01.212874-05:00,17.07,9201,17.08,4967,11.17,3816.0,11.18,1624.0
87,2021-02-19 11:37:09.166613-05:00,17.07,8875,17.08,5002,11.17,3816.0,11.18,1624.0
88,2021-02-19 11:37:09.166613-05:00,17.07,8875,17.08,5002,11.17,3772.0,11.18,1699.0
89,2021-02-19 11:37:16.183654-05:00,17.07,8799,17.08,5236,11.17,3772.0,11.18,1699.0
90,2021-02-19 11:37:16.183654-05:00,17.07,8799,17.08,5236,11.17,3816.0,11.18,1664.0
91,2021-02-19 11:37:28.213429-05:00,17.07,8875,17.08,5002,11.17,3816.0,11.18,1664.0
92,2021-02-19 11:37:39.151568-05:00,17.07,9064,17.08,5002,11.17,3816.0,11.18,1664.0
93,2021-02-19 11:37:39.151568-05:00,17.07,9064,17.08,5002,11.17,3816.0,11.18,1651.0
94,2021-02-19 11:37:48.046508-05:00,17.07,8875,17.08,5022,11.17,3816.0,11.18,1651.0
95,2021-02-19 11:37:59.080202-05:00,17.07,8991,17.08,5052,11.17,3817.0,11.18,1624.0
96,2021-02-19 11:37:59.080202-05:00,17.07,8991,17.08,5052,11.17,3787.0,11.18,1697.0
97,2021-02-19 11:38:06.136513-05:00,17.07,8915,17.08,5279,11.17,3787.0,11.18,1697.0
98,2021-02-19 11:38:06.136513-05:00,17.07,8915,17.08,5279,11.17,3779.0,11.18,1718.0
99,2021-02-19 11:38:19.193507-05:00,17.07,8915,17.08,5321,11.17,3779.0,11.18,1718.0
100,2021-02-19 11:38:27.122816-05:00,17.07,8915,17.08,5280,11.17,3780.0,11.18,1698.0
101,2021-02-19 11:38:38.144301-05:00,17.07,9104,17.08,5289,11.17,3780.0,11.18,1698.0
102,2021-02-19 11:38:38.144301-05:00,17.07,9104,17.08,5289,11.17,3776.0,11.18,1697.0
103,2021-02-19 11:38:38.144301-05:00,17.07,9104,17.08,5289,11.17,3763.0,11.18,1877.0
104,2021-02-19 11:38:49.176385-05:00,17.07,8879,17.08,5281,11.17,3763.0,11.18,1877.0
105,2021-02-19 11:38:57.180464-05:00,17.07,8879,17.08,5281,11.17,3081.0,11.18,2294.0
106,2021-02-19 11:38:59.119801-05:00,17.07,6857,17.08,6819,11.17,3081.0,11.18,2294.0
107,2021-02-19 11:39:01.124014-05:00,17.07,6857,17.08,6819,11.17,3010.0,11.18,2369.0
108,2021-02-19 11:39:09.108984-05:00,17.07,6875,17.08,7089,11.17,3010.0,11.18,2369.0
109,2021-02-19 11:39:09.108984-05:00,17.07,6875,17.08,7089,11.17,3175.0,11.18,2115.0
110,2021-02-19 11:39:19.159745-05:00,17.07,7295,17.08,6645,11.17,3175.0,11.18,2115.0
111,2021-02-19 11:39:29.176139-05:00,17.07,7303,17.08,6650,11.17,3181.0,11.18,2033.0
112,2021-02-19 11:39:29.176139-05:00,17.07,7303,17.08,6650,11.17,3233.0,11.18,2018.0
113,2021-02-19 11:39:39.177881-05:00,17.07,7113,17.08,6650,11.17,3233.0,11.18,2018.0
114,2021-02-19 11:39:43.186973-05:00,17.07,7113,17.08,6650,11.17,2953.0,11.18,2723.0
115,2021-02-19 11:39:49.223905-05:00,17.07,6598,17.08,7303,11.17,2953.0,11.18,2723.0
116,2021-02-19 11:39:59.074577-05:00,17.07,6233,17.08,7397,11.17,2459.0,11.18,2744.0
117,2021-02-19 11:40:08.181809-05:00,17.07,6775,17.08,7402,11.17,2582.0,11.18,2681.0
118,2021-02-19 11:40:19.238978-05:00,17.07,6586,17.08,7402,11.17,2579.0,11.18,2744.0
119,2021-02-19 11:40:28.269547-05:00,17.07,6558,17.08,7433,11.17,2579.0,11.18,2744.0
120,2021-02-19 11:40:28.269547-05:00,17.07,6558,17.08,7433,11.17,2292.0,11.18,2781.0
121,2021-02-19 11:40:36.044260-05:00,17.07,6558,17.08,7433,11.17,1645.0,11.18,2819.0
122,2021-02-19 11:40:39.285917-05:00,17.07,5910,17.08,7718,11.17,1645.0,11.18,2819.0
123,2021-02-19 11:40:49.292885-05:00,17.07,6352,17.08,7359,11.17,2360.0,11.18,2735.0
124,2021-02-19 11:40:59.062073-05:00,17.07,6304,17.08,7403,11.17,1980.0,11.18,2800.0
125,2021-02-19 11:40:59.062073-05:00,17.07,6304,17.08,7403,11.17,1197.0,11.18,2839.0
126,2021-02-19 11:41:09.291135-05:00,17.07,5563,17.08,7424,11.17,1197.0,11.18,2839.0
127,2021-02-19 11:41:19.181033-05:00,17.07,3638,17.08,6495,11.17,719.0,11.18,2609.0
128,2021-02-19 11:41:21.083944-05:00,17.07,3638,17.08,6495,11.16,2499.0,11.17,2095.0
129,2021-02-19 11:41:29.120323-05:00,17.07,2069,17.08,6522,11.16,2499.0,11.17,2095.0
130,2021-02-19 11:41:38.147377-05:00,17.07,3001,17.08,7513,11.16,2499.0,11.17,2095.0
131,2021-02-19 11:41:38.147377-05:00,17.07,3001,17.08,7513,11.16,2969.0,11.17,1349.0
132,2021-02-19 11:41:49.180918-05:00,17.07,2991,17.08,7541,11.16,2773.0,11.17,1616.0
133,2021-02-19 11:41:59.131538-05:00,17.07,2653,17.08,7748,11.16,2703.0,11.17,1787.0
134,2021-02-19 11:42:09.150460-05:00,17.07,2833,17.08,7748,11.16,2772.0,11.17,1765.0
135,2021-02-19 11:42:21.095573-05:00,17.07,2833,17.08,7748,11.16,2902.0,11.17,1498.0
136,2021-02-19 11:42:29.126948-05:00,17.07,2861,17.08,7636,11.16,2902.0,11.17,1498.0
137,2021-02-19 11:42:39.148085-05:00,17.07,2913,17.08,7636,11.16,2917.0,11.17,1435.0
138,2021-02-19 11:42:49.077736-05:00,17.07,2716,17.08,7621,11.16,2968.0,11.17,1446.0
139,2021-02-19 11:42:57.189674-05:00,17.07,2720,17.08,7620,11.16,2968.0,11.17,1446.0
140,2021-02-19 11:42:57.189674-05:00,17.07,2720,17.08,7620,11.16,2953.0,11.17,1365.0
141,2021-02-19 11:43:09.178712-05:00,17.07,2696,17.08,7666,11.16,2782.0,11.17,1633.0
142,2021-02-19 11:43:09.178712-05:00,17.07,2696,17.08,7666,11.16,2838.0,11.17,1526.0
